[HC2000],sepHC_Kim,ra_1,dec_1,ID_Kim,ra_2,dec_2,mualpha,mualpha_err,mudelta,mudelta_err,Nepochs,dT,mag139,flag,RAJ2000_1,DECJ2000,RAJ2000_2,DEJ2000,l_Kmag,Kmag,l_Hmag,Hmag,e_Kmag,e_Hmag,OptID,AltID,sepHC_daRio,ra,dec,ID_daRio,RAh,RAm,RAs,DE-,DEd,DEm,DEs,logT,Temp(daRio),e_logT,logL,e_logL,AV,e_AV,f_BMass,BMass,e_BMass,l_logBA,logBA,e_logBA,DMass,e_DMass,logDA,e_logDA,Temp_daRio,Temp_us,eTemp_us,eTemp_us_STD,RV_us,RVe_us,RVe_us_STD,vsini_us,vsinie_us,vsinie_us_STD,sepHC_APOGEE,veiling_O32,veiling_O33,2MASS,ra_apogee,dec_apogee,RV_apogee,RVe_apogee,Temp_apogee,eTemp_apogee,raT,decT,RV_tobin,RVe_tobin,ID
35,0.06592717787,83.82478178,-5.42256789,664,83.82478178,-5.42256789,0.27,0.16,-1.22,0.19,2,10.6,12.61,,83.82478061,-5.422562637,05 35 17.95,-05 25 21.3,,11.114,,11.639,0.003,0.003,569,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

36,0.1646280649,83.80857938,-5.42235576,340,83.80857938,-5.42235576,-0.47,0.08,-0.08,0.28,4,17,12.55,,83.80858141,-5.422355416,05 35 14.07,-05 25 20.5,,11.008,,11.745,0.001,0.003,3093,,0.1493287741,83.80858333,-5.422361111,137,5,35,14.06,-,5,25,20.5,3.476,2992.264637,0.003,-0.664,0.062,1.289,0.361,~,0.096,,<,6,,0.127,0.003,5.256,0.087,2992.264637,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

37,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 08.54,-05 25 18.1,,11.022,,11.265,0.001,0.002,323,,0.4991958979,83.7855,-5.421583333,151,5,35,8.52,-,5,25,17.7,3.54,3467.368505,0.001,-0.43,0.015,1.051,0.061,,0.477,0.009,,6.225,0.016,0.26,0.004,5.901,0.013,3467.368505,,,,,,,,,,0.1797143164,,,2M05350853-0525179,83.78554535,-5.421661854,23.0065,0.331824,4023.63,23.1966,-9999,-9999,-9999,-9999,-9999

38,0.04084225331,83.82687579,-5.42201646,332,83.82687579,-5.42201646,-0.43,0.24,1.71,0.43,4,16.9,13.53,,83.82687765,-5.422023823,05 35 18.45,-05 25 19.3,,12.025,,12.908,0.005,0.007,9227,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

39,0.08889169312,83.85913431,-5.42235622,350,83.85913431,-5.42235622,0.68,0.08,0.91,0.12,3,16.9,13.05,,83.85913142,-5.422360076,05 35 26.19,-05 25 20.4,,12.01,,12.487,0.001,0.003,3090,,0.1797194586,83.85916667,-5.422361111,259,5,35,26.2,-,5,25,20.5,3.502,3176.874071,0.001,-0.928,0.014,0.317,0.071,,0.209,0.006,,6.265,0.014,0.173,0.002,6.192,0.012,3176.874071,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

40,0.09888585019,83.81909906,-5.42160175,447,83.81909906,-5.42160175,0.82,0.04,-1.44,0.12,5,19.9,12.66,,83.81909551,-5.42159555,05 35 16.59,-05 25 17.8,,11.413,,11.988,0.002,0.004,9147,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

41,0.6890104925,83.85105708,-5.42205071,690,83.85105708,-5.42205071,1.6,0.15,0.26,0.2,2,9.9,,,83.85105016,-5.422051829,05 35 24.26,-05 25 18.7,,9.991,,10.484,0.001,0.003,750,,0.6056285157,83.85091667,-5.421888889,238,5,35,24.22,-,5,25,18.8,3.639,4355.118737,0.01,0.079,0.046,2.259,0.223,,1.4,0.033,,6.77,0.078,0.61,0.051,5.875,0.031,4355.118737,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,83.85104167,-5.4218,26.3,1.6,0535242-052518

42,0.1427465477,83.8097526,-5.42104783,353,83.8097526,-5.42104783,-0.14,0.04,-0.6,0.71,5,19.9,12.79,,83.8097532,-5.421045259,05 35 14.35,-05 25 15.8,,11.455,,12.007,0.002,0.004,3091,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

43,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 15.56,-05 25 14.2,,9.041,,9.173,0.001,0.003,478,,0.4991962186,83.81475,-5.4205,228,5,35,15.54,-,5,25,13.8,3.585,,0.01,0.351,0.054,0.814,0.258,~,1.064,,<,6,,0.294,0.027,4.636,0.028,3845.91782,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,83.81475,-5.420555556,21.7,1.4,0535155-052514

44,-9999,-9999,-9999,-9999,,,,,,,,,,,,,05 35 11.73,-05 25 12.9,,12.885,,15.348,0.003,0.012,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

45,0.07765184665,83.8335703,-5.42065612,369,83.8335703,-5.42065612,-0.38,0.19,-1.32,0.16,3,16.2,13.57,,83.83357194,-5.420650437,05 35 20.06,-05 25 14.3,,11.528,,12.349,0.003,0.005,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

46,0.05879651908,83.81527826,-5.41957392,448,83.81527826,-5.41957392,-0.59,0.12,0.84,0.11,5,19.9,12.57,,83.81528078,-5.41957749,05 35 15.67,-05 25 10.5,,11.151,,11.768,0.002,0.004,9108,,0.2986589223,83.81520833,-5.419583333,163,5,35,15.65,-,5,25,10.5,3.515,,0.004,-0.606,0.043,1.377,0.19,,0.301,0.029,,6.1,0.06,0.185,0.009,5.947,0.114,3273.406949,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

47,0.03750116299,83.8235751,-5.41963246,337,83.8235751,-5.41963246,-1.53,1.47,-0.17,0.46,5,17,14.04,,83.82358172,-5.419631728,05 35 17.66,-05 25 10.7,,12.264,,13.071,0.004,0.007,9189,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

48,0.1622160236,83.85639388,-5.4199556,499,83.85639388,-5.4199556,0.1,0.09,-1.42,0.04,3,19.3,17.06,,83.85639346,-5.419949637,05 35 25.54,-05 25 11.7,,15.572,,16.197,0.019,0.026,,,-9999,-9999,-9999,-9999,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-9999,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999

