molecule,isotope,frequency,intensity,einstein_a,air_halfwidth,self_halfwidth,lower_energy,t_exponent,p_shift,upper_global,lower_global,upper_local,lower_local,err1,err2,err3,err4,err5,err6,ref1,ref2,ref3,ref4,ref5,ref6,mixing_flag,upper_weight,lower_weight
5,2,4255.7005,2.413e-27,0.6228,0.042,0.041,2438.2665,0.67,0,              2,              0,,     R 36,4,6,6,2,2,0,2,2,2,2,1,0,,150,146
5,3,4255.7919,2.415e-35,0.7163,0.042,0.041,5992.733,0.67,0,              2,              0,,     R 57,4,6,6,2,2,0,2,2,2,2,1,0,,117,115
5,1,4255.8357,1.545e-25,1.725,0.0549,0.06,2543.0567,0.71,0,              3,              1,,     R 14,4,6,7,6,6,0,2,2,2,2,1,0,,31,29
5,3,4255.8445,1.827e-31,0.6685,0.042,0.041,4102.499,0.67,0,              2,              0,,     R 47,4,6,6,2,2,0,2,2,2,2,1,0,,97,95
5,3,4256.1222,6.374e-35,0.7115,0.042,0.041,5788.0953,0.67,0,              2,              0,,     R 56,4,6,6,2,2,0,2,2,2,2,1,0,,115,113
5,3,4256.1627,8.084e-32,0.6731,0.042,0.041,4275.8252,0.67,0,              2,              0,,     R 48,4,6,6,2,2,0,2,2,2,2,1,0,,99,97
5,1,4256.2171,6.781e-22,1.024,0.0797,0.086,3.845,0.76,-0.00417,              2,              0,,     P  1,4,6,7,6,6,3,2,3,2,2,1,1,,1,3
5,3,4256.38,1.654e-34,0.7067,0.042,0.041,5586.9085,0.67,0,              2,              0,,     R 55,4,6,6,2,2,0,2,2,2,2,1,0,,113,111
5,3,4256.4094,3.516e-32,0.6779,0.042,0.041,4452.6575,0.67,0,              2,              0,,     R 49,4,6,6,2,2,0,2,2,2,2,1,0,,101,99
5,3,4256.5653,4.218e-34,0.7018,0.042,0.041,5389.1798,0.67,0,              2,              0,,     R 54,4,6,6,2,2,0,2,2,2,2,1,0,,111,109
5,3,4256.5845,1.503e-32,0.6827,0.042,0.041,4632.9895,0.67,0,              2,              0,,     R 50,4,6,6,2,2,0,2,2,2,2,1,0,,103,101
5,3,4256.6782,1.057e-33,0.6967,0.042,0.041,5194.9165,0.67,0,              2,              0,,     R 53,4,6,6,2,2,0,2,2,2,2,1,0,,109,107
5,3,4256.6877,6.312e-33,0.6874,0.042,0.041,4816.8145,0.67,0,              2,              0,,     R 51,4,6,6,2,2,0,2,2,2,2,1,0,,105,103
5,3,4256.719,2.606e-33,0.6922,0.042,0.041,5004.1258,0.67,0,              2,              0,,     R 52,4,6,6,2,2,0,2,2,2,2,1,0,,107,105
5,2,4256.7961,1.295e-27,0.6274,0.042,0.041,2573.1452,0.67,0,              2,              0,,     R 37,4,6,6,2,2,0,2,2,2,2,1,0,,154,150
5,4,4257.4889,5.024e-25,0.5519,0.0542,0.059,449.4162,0.7,0,              2,              0,,     R 15,4,6,7,6,6,0,2,2,2,2,1,0,,198,186
5,2,4257.8211,6.825e-28,0.6321,0.042,0.041,2711.6058,0.67,0,              2,              0,,     R 38,4,6,6,2,2,0,2,2,2,2,1,0,,158,154
5,1,4258.508,1.256e-25,1.74,0.0542,0.059,2600.1249,0.7,0,              3,              1,,     R 15,4,6,7,6,6,0,2,2,2,2,1,0,,33,31
5,2,4258.7755,3.534e-28,0.637,0.042,0.041,2853.6431,0.67,0,              2,              0,,     R 39,4,6,6,2,2,0,2,2,2,2,1,0,,162,158
5,2,4259.6591,1.797e-28,0.6417,0.042,0.041,2999.252,0.67,0,              2,              0,,     R 40,4,6,6,2,2,0,2,2,2,2,1,0,,166,162
5,4,4260.0726,4.016e-25,0.5572,0.0535,0.058,509.2878,0.69,0,              2,              0,,     R 16,4,6,7,6,6,0,2,2,2,2,1,0,,210,198
5,2,4260.4718,8.972e-29,0.6463,0.042,0.041,3148.4272,0.67,0,              2,              0,,     R 41,4,6,6,2,2,0,2,2,2,2,1,0,,170,166
5,1,4261.1081,9.993e-26,1.757,0.0535,0.058,2660.9855,0.69,0,              3,              1,,     R 16,4,6,7,6,6,0,2,2,2,2,1,0,,35,33
5,2,4261.2135,4.401e-29,0.651,0.042,0.041,3301.1631,0.67,0,              2,              0,,     R 42,4,6,6,2,2,0,2,2,2,2,1,0,,174,170
5,2,4261.6332,2.097e-36,0.7433,0.042,0.041,6871.4721,0.67,0,              2,              0,,     R 61,4,6,6,2,2,0,2,2,2,2,1,0,,250,246
5,2,4261.8841,2.121e-29,0.6558,0.042,0.041,3457.4543,0.67,0,              2,              0,,     R 43,4,6,6,2,2,0,2,2,2,2,1,0,,178,174
5,2,4262.2664,5.945e-36,0.7382,0.042,0.041,6652.293,0.67,0,              2,              0,,     R 60,4,6,6,2,2,0,2,2,2,2,1,0,,246,242
5,2,4262.4833,1.004e-29,0.6604,0.042,0.041,3617.2948,0.67,0,              2,              0,,     R 44,4,6,6,2,2,0,2,2,2,2,1,0,,182,178
5,4,4262.5865,3.142e-25,0.5624,0.0527,0.057,572.8883,0.68,0,              2,              0,,     R 17,4,6,7,6,6,0,2,2,2,2,1,0,,222,210
5,2,4262.826,1.658e-35,0.7335,0.042,0.041,6436.5462,0.67,0,              2,              0,,     R 59,4,6,6,2,2,0,2,2,2,2,1,0,,242,238
5,2,4263.0111,4.67e-30,0.6653,0.042,0.041,3780.679,0.67,0,              2,              0,,     R 45,4,6,6,2,2,0,2,2,2,2,1,0,,186,182
5,2,4263.3121,4.543e-35,0.7283,0.042,0.041,6224.2394,0.67,0,              2,              0,,     R 58,4,6,6,2,2,0,2,2,2,2,1,0,,238,234
5,2,4263.4674,2.134e-30,0.67,0.042,0.041,3947.6008,0.67,0,              2,              0,,     R 46,4,6,6,2,2,0,2,2,2,2,1,0,,190,186
5,1,4263.6356,7.775e-26,1.773,0.0527,0.057,2725.6361,0.68,0,              3,              1,,     R 17,4,6,7,6,6,0,2,2,2,2,1,0,,37,35
5,2,4263.725,1.224e-34,0.7233,0.042,0.041,6015.3806,0.67,0,              2,              0,,     R 57,4,6,6,2,2,0,2,2,2,2,1,0,,234,230
5,1,4263.8372,6.992e-22,0.3467,0.0797,0.086,0,0.76,-0.00253,              2,              0,,     R  0,4,6,7,6,6,3,2,3,2,2,1,1,,3,1
5,2,4263.8519,9.582e-31,0.6748,0.042,0.041,4118.0542,0.67,0,              2,              0,,     R 47,4,6,6,2,2,0,2,2,2,2,1,0,,194,190
5,2,4264.0647,3.243e-34,0.7185,0.042,0.041,5809.9774,0.67,0,              2,              0,,     R 56,4,6,6,2,2,0,2,2,2,2,1,0,,230,226
5,2,4264.1646,4.227e-31,0.6796,0.042,0.041,4292.0327,0.67,0,              2,              0,,     R 48,4,6,6,2,2,0,2,2,2,2,1,0,,198,194
5,2,4264.3314,8.445e-34,0.7136,0.042,0.041,5608.0374,0.67,0,              2,              0,,     R 55,4,6,6,2,2,0,2,2,2,2,1,0,,226,222
5,2,4264.4054,1.833e-31,0.6846,0.042,0.041,4469.5301,0.67,0,              2,              0,,     R 49,4,6,6,2,2,0,2,2,2,2,1,0,,202,198
5,2,4264.5252,2.162e-33,0.7089,0.042,0.041,5409.568,0.67,0,              2,              0,,     R 54,4,6,6,2,2,0,2,2,2,2,1,0,,222,218
5,2,4264.5741,7.808e-32,0.6893,0.042,0.041,4650.5399,0.67,0,              2,              0,,     R 50,4,6,6,2,2,0,2,2,2,2,1,0,,206,202
5,2,4264.6462,5.439e-33,0.7039,0.042,0.041,5214.5765,0.67,0,              2,              0,,     R 53,4,6,6,2,2,0,2,2,2,2,1,0,,218,214
5,2,4264.6705,3.269e-32,0.6942,0.042,0.041,4835.0555,0.67,0,              2,              0,,     R 51,4,6,6,2,2,0,2,2,2,2,1,0,,210,206
5,2,4264.6946,1.345e-32,0.699,0.042,0.041,5023.0699,0.67,0,              2,              0,,     R 52,4,6,6,2,2,0,2,2,2,2,1,0,,214,210
5,4,4265.0306,2.406e-25,0.5674,0.0519,0.056,640.2153,0.67,0,              2,              0,,     R 18,4,6,7,6,6,0,2,2,2,2,1,0,,234,222
5,1,4266.0904,5.923e-26,1.789,0.0519,0.056,2794.0743,0.67,0,              3,              1,,     R 18,4,6,7,6,6,0,2,2,2,2,1,0,,39,37
5,4,4267.4047,1.804e-25,0.5722,0.051,0.055,711.2665,0.67,0,              2,              0,,     R 19,4,6,7,6,6,0,2,2,2,2,1,0,,246,234
5,1,4267.5421,1.381e-21,0.4193,0.0748,0.082,3.845,0.75,-0.0035,              2,              0,,     R  1,4,6,7,6,6,3,2,3,2,2,1,1,,5,3
5,1,4268.4725,4.417e-26,1.805,0.051,0.055,2866.2975,0.67,0,              3,              1,,     R 19,4,6,7,6,6,0,2,2,2,2,1,0,,41,39
5,4,4269.7086,1.325e-25,0.577,0.05,0.054,786.039,0.67,0,              2,              0,,     R 20,4,6,7,6,2,0,2,2,2,2,1,0,,258,246
5,1,4270.7816,3.225e-26,1.82,0.05,0.054,2942.3028,0.67,0,              3,              1,,     R 20,4,6,7,6,2,0,2,2,2,2,1,0,,43,41
5,1,4271.1766,2.007e-21,0.4526,0.0709,0.079,11.535,0.74,-0.00387,              2,              0,,     R  2,4,6,7,6,6,3,2,3,2,2,1,1,,7,5
5,4,4271.9423,9.541e-26,0.5821,0.0491,0.053,864.5302,0.67,0,              2,              0,,     R 21,4,6,7,6,2,0,2,2,2,2,1,0,,270,258
5,1,4273.0177,2.307e-26,1.835,0.0491,0.053,3022.0873,0.67,0,              3,              1,,     R 21,4,6,7,6,2,0,2,2,2,2,1,0,,45,43
5,4,4274.1055,6.734e-26,0.5871,0.0483,0.052,946.737,0.67,0,              2,              0,,     R 22,4,6,7,6,2,0,2,2,2,2,1,0,,282,270
