RAJ2000,DEJ2000,_2MASS,Gaia,more,Nep,Teff,e_Teff,logg,e_logg,l_RVmean,RVmean,e_RVmean,Fbol,e_Fbol,Av,e_Av
84.7536697387695,-2.88787698745727,b'2M05390088-0253163',3216054954147675392,b'*',4,6182.07,34.8599,5.13639,0.0487818,b' ',29.4164,0.131921,3.185582,0.0,0.4,0.0
84.2254104614258,-2.88766002655029,b'2M05365409-0253155',3216079899317606272,b'*',2,4672.0,23.8713,4.68835,0.0553049,b' ',28.2447,0.256965,2.922982,0.128467,0.6,0.2
84.4636764526367,-2.88741397857666,b'2M05375128-0253146',3216100201628054784,b'*',4,6590.52,394.712,4.97043,0.125176,b' ',-7.8656,0.625988,2.860551,0.0,0.9,0.0
84.6634521484375,-2.88567304611206,b'2M05383922-0253084',3216058458841004032,b'*',5,5341.65,37.3515,4.0536,0.0713268,b' ',96.9043,0.143807,1.149478,0.084336,1.7,0.55
84.608039855957,-2.88469696044922,b'2M05382592-0253049',3216058596279966336,b'*',6,5488.49,37.103,4.40927,0.0567945,b' ',88.1719,0.11787,0.878941,0.01368,1.6,0.0
84.9608688354492,-2.88352608680725,b'2M05395060-0253006',3216419236094086272,b'*',2,5377.98,41.9366,4.0362,0.0721856,b' ',3.6864,0.13672,11.63784,0.0,2.2,0.0
84.9015197753906,-2.88315486907959,b'2M05393636-0252593',3216044676290851968,b'*',3,6076.1,42.2555,5.0992,0.0636775,b' ',72.737,0.15795,1.710825,0.027932,1.9,0.05
85.0519104003906,-2.88266706466675,b'2M05401245-0252576',3216416483022720000,b'*',1,6561.77,331.329,5.05751,0.138045,b' ',3.8857,0.440091,22.735677,0.0,0.3,0.0
83.5621109008789,-2.8816831111908,b'2M05341490-0252540',3216841448559554176,b'*',5,14037.7,346.289,4.90918,0.0575262,b'<',9.88324,0.0,1465.3446,0.0,0.0,0.0
81.6319580078125,-2.8813169002533,b'2M05263166-0252527',3211033823844310400,b'*',1,5386.91,55.9376,3.87282,0.120144,b' ',46.9053,0.203114,5.116891,0.198695,1.25,0.1
84.8906631469727,-2.88120102882385,b'2M05393376-0252523',3216044886744311680,b'*',3,5131.58,28.6805,5.218,0.0424072,b' ',14.5835,0.134852,1.773816,0.046986,0.55,0.0500001
84.8806686401367,-2.88118004798889,b'2M05393136-0252522',3216044852384574848,b'*',1,6210.43,47.53,5.26368,0.0914745,b' ',10.697,0.223098,4.002056,0.0,0.5,0.0
80.999641418457,-2.87988901138306,b'2M05235991-0252476',3211022347692554496,b'*',1,6186.95,102.567,4.71842,0.112057,b' ',10.6205,0.723816,10.232966,0.0,0.35,0.0
84.6823272705078,-2.87855410575867,b'2M05384375-0252427',3216055533968380672,b' ',6,2937.9,9.71035,4.29183,0.0500162,b' ',32.8308,0.299164,0.236489,0.012283,0.0,0.0
81.6454696655273,-2.87403798103333,b'2M05263491-0252265',3211033858204048384,b'*',1,5563.64,69.1421,4.01881,0.107175,b' ',60.2054,0.211825,3.628594,0.0,1.25,0.0
84.5910186767578,-2.87377905845642,b'2M05382184-0252256',3216053545398427520,b'*',4,6575.27,285.462,5.10705,0.10416,b' ',12.0852,0.333847,4.108648,0.083422,0.95,0.0500001
82.9812393188477,-2.87202596664429,b'2M05315549-0252192',3216803446689221760,b'*',5,4588.32,26.5581,4.6777,0.0722189,b' ',19.557,0.406716,0.0,0.0,0.0,0.0
84.6520538330078,-2.87096905708313,b'2M05383649-0252154',3216058527560479488,b'*',4,6969.44,365.225,4.0598,0.0920778,b'<',2.95215,0.0,2.826353,0.30327,1.6,0.2
84.8604278564453,-2.87090396881104,b'2M05392650-0252152',3216056672134574720,b' ',6,3395.75,13.1892,3.65893,0.0389302,b' ',31.2686,0.175033,0.303573,0.011348,0.3,0.2
84.3540954589844,-2.86731100082398,b'2M05372498-0252023',3216099931045051520,b'*',1,5822.63,44.0921,4.24607,0.0762227,b' ',15.741,0.188487,5.144116,0.316484,1.25,0.05
82.8973846435547,-2.86591601371765,b'2M05313537-0251572',3216806229828044288,b'*',1,6590.62,610.8,4.74745,0.196163,b' ',-16.3058,0.85592,14.482698,0.0,1.8,0.0
84.9739303588867,-2.865877866745,b'2M05395374-0251571',3216419339173299456,b'*',3,5741.25,38.9082,4.74337,0.0704214,b' ',58.1762,0.16356,1.206006,0.038283,1.65,0.05
