ID,_RAJ2000,_DEJ2000,pmRA,e_pmRA,pmDE,e_pmDE,Ndet,Dt,F139,Note
270,83.85190546,-5.39861254,1.79,0.32,-0.92,0.19,6,16.9,14.64,
271,83.84808201,-5.39748163,-1.8,0.02,-1.54,0.67,4,11,15.64,
272,83.84646927,-5.39701804,0.68,0.04,1.06,0.03,5,11,15.52,
273,83.86577463,-5.38119269,-1.44,0.1,0.75,0.02,4,16.9,15.95,
274,83.86651192,-5.37970126,1.09,0.14,0.85,0.05,4,16.9,15.31,
275,83.84053406,-5.3967665,-0.24,0.15,1.69,0.13,3,19.9,14.21,
276,83.84966741,-5.38346669,1.66,0.14,-1.09,0.07,6,16.9,15.62,
277,83.86021438,-5.37383427,-1.29,0.09,-1.18,0.08,3,11,14.52,
278,83.83855649,-5.38800198,0.48,0.13,0.89,0.05,5,16.9,15.43,
279,83.83548744,-5.38971272,0.47,0.15,2.45,0.06,6,16.9,14.14,
280,83.84373282,-5.3838732,2.37,0.21,0.11,0.1,6,16.9,15.45,
281,83.83303753,-5.40072512,-0.74,0.19,0.01,0.23,4,19.3,12.91,
282,83.82005977,-5.40894004,1.22,0.1,-1.11,0.03,3,10,14.19,
283,83.82324067,-5.40250184,0.37,0.05,-0.42,0.11,3,10,14.6,
284,83.82712263,-5.39938023,0.51,0.23,-1.86,0.18,4,16.3,15.24,
285,83.83542531,-5.39201609,-0.64,0.18,-2.28,0.09,4,19.3,14.16,
286,83.81628729,-5.40495937,0.2,0.32,-1,0.15,6,19.3,14.45,
287,83.84122742,-5.38536689,-1.3,0.08,-1.45,0.04,6,16.9,15.38,
288,83.82412103,-5.3956105,-0.1,0.22,1.55,0.05,5,19.3,12.77,
289,83.82707645,-5.39147553,-0.95,0.36,0.13,0.03,4,10.4,13.26,
290,83.81266652,-5.39845932,-1.56,0.35,-1.34,0.26,6,16.9,13.45,
291,83.83179649,-5.38433654,0.13,0.12,-0.42,0.07,6,16.9,15.2,
292,83.83323581,-5.37575748,-0.49,0.01,1.65,0.06,4,16.9,14.81,
293,83.82975793,-5.37626031,0.39,0.2,1.37,0.16,4,16.9,14.22,
294,83.82742106,-5.37526777,-0.38,0.06,-2.44,0.22,5,16.9,14.8,
295,83.82397245,-5.37527232,-0.71,0.66,-1.01,0.11,3,11,13.78,
