APOGEE_ID,ID_kim,_RAJ2000,_DEJ2000,rv,rv_e,pmRA,pmRA_e,pmDE,pmDE_e,teff,teff_e,vsini,vsini_e,veiling,note
2M05352139-0526439,,83.83912500,-5.44552778,26.03,0.21,,,,,4386,7,19.74,0.17,0.13,
2M05352162-0526576,,83.84008333,-5.44933333,30.06,1.01,,,,,3061,9,72.25,0.95,0.33,
2M05352166-0525264,,83.84025000,-5.42400000,25.74,0.18,,,,,4209,12,12.44,1.36,0.59,
2M05352172-0526443,617,83.84050000,-5.44563889,26.49,0.63,1.05,0.06,1.38,0.03,3749.12,8.63,16.95,0.86,0.61,
2M05352181-0523539,139,83.84087500,-5.39830556,25.79,1.28,0.98,0.09,0.84,0.21,4535.92,8.94,48.97,0.50,0.14,
2M05352184-0522082,89,83.84100000,-5.36894444,26.71,0.27,0.15,0.29,1.13,0.13,4067.68,11.01,23.87,0.50,0.44,
2M05352208-0524327,145,83.84200000,-5.40908333,23.37,0.20,1.36,0.47,-1.32,0.33,3257.96,8.18,12.89,0.68,0.71,
2M05352219-0526373,,83.84245833,-5.44369444,29.56,0.31,,,,,4246,7,34.67,0.10,0.13,
2M05352226-0520292,,83.84275000,-5.34144444,23.37,0.34,,,,,4526,6,13.41,0.83,0.08,
2M05352244-0522010,558,83.84350000,-5.36694444,22.86,0.29,0.03,0.09,-1.20,0.11,4467.55,7.58,19.88,1.08,0.36,
2M05352246-0525451,652,83.84358333,-5.42919444,30.53,0.41,-2.23,0.31,-1.26,0.45,3544.14,12.54,14.72,0.88,0.91,
2M05352274-0519478,,83.84475000,-5.32994444,30.20,0.22,,,,,4292,12,31.28,0.39,0.46,
2M05352296-0522415,551,83.84566667,-5.37819444,28.32,1.53,-0.59,0.13,2.26,0.07,4477.92,8.26,66.41,0.82,0.07,
2M05352317-0522283,623,83.84654167,-5.37452778,25.57,0.31,-0.28,0.19,-0.09,0.21,3933.29,12.09,3.56,1.35,1.10,
2M05352321-0521357,535,83.84670833,-5.35991667,47.65,0.56,-1.26,0.21,-1.92,0.20,3132.12,14.43,53.83,1.35,1.11,E3
2M05352332-0521254,556,83.84716667,-5.35705556,29.54,0.34,1.51,0.23,-0.34,0.22,4235.67,10.56,11.89,1.41,1.17,
2M05352349-0520016,,83.84787500,-5.33377778,26.49,1.78,,,,,4058,27,53.43,1.19,0.55,
2M05352433-0522322,98,83.85137500,-5.37561111,25.14,1.61,-1.58,0.25,0.12,0.08,4290.35,48.94,16.00,0.59,1.39,
2M05352433-0526003,342,83.85137500,-5.43341667,26.95,1.57,-0.65,0.36,-0.46,0.28,2822.52,9.19,31.32,3.75,0.22,
2M05352443-0524398,508,83.85179167,-5.41105556,23.50,0.28,0.85,0.07,-1.81,0.17,4178.56,9.65,39.41,0.55,0.84,
2M05352445-0524010,269,83.85187500,-5.40027778,31.09,0.39,-0.97,0.24,2.31,0.04,2761.69,21.16,20.71,1.05,0.91,
2M05352445-0526314,,83.85187500,-5.44205556,24.08,1.20,,,,,3260,197,19.86,0.92,0.69,
2M05352465-0522425,194,83.85270833,-5.37847222,32.95,0.96,-0.26,0.12,-0.13,0.03,3737.85,46.02,2.23,2.43,0.61,
2M05352469-0524357,177,83.85287500,-5.40991667,24.77,0.34,0.18,0.65,1.11,0.32,4270.39,7.66,35.59,0.49,0.79,
2M05352488-0525101,450,83.85366667,-5.41947222,25.83,1.74,-0.34,0.25,-0.39,0.20,2889.50,65.12,13.39,0.66,0.24,
2M05352505-0522585,,83.85437500,-5.38291667,29.88,0.21,,,,,4431,7,27.19,0.08,0.38,
2M05352508-0523467,,83.85450000,-5.39630556,31.86,0.29,,,,,4325,7,109.87,0.77,0.05,
2M05352512-0522252,504,83.85466667,-5.37366667,25.85,0.97,-0.02,0.22,-0.32,0.28,3028.95,7.75,8.51,0.82,0.42,
2M05352517-0523536,565,83.85487500,-5.39822222,27.14,1.76,-0.10,0.21,0.56,0.15,3980.26,58.62,15.50,2.19,1.60,
2M05352534-0525295,325,83.85558333,-5.42486111,30.22,0.24,-1.16,0.08,-1.66,0.38,2861.28,8.23,16.46,0.49,0.49,
2M05352537-0524114,13,83.85570833,-5.40316667,27.17,1.00,-0.14,0.69,-0.42,0.08,4223.46,17.45,18.93,2.36,0.94,
2M05352543-0521515,,83.85595833,-5.36430556,28.40,0.23,,,,,4188,9,29.41,0.72,0.47,
2M05352547-0521349,91,83.85612500,-5.35969444,31.67,0.25,0.30,0.15,-1.08,0.17,4379.39,7.24,16.07,0.31,0.17,C
2M05352571-0523094,111,83.85712500,-5.38594444,26.37,0.31,-0.15,0.17,0.53,0.09,4349.06,5.53,17.91,0.20,0.43,
2M05352600-0525477,436,83.85833333,-5.42991667,26.44,0.19,-0.02,0.08,-0.33,0.06,4151.75,5.88,16.04,0.25,0.49,
2M05352605-0521210,,83.85854167,-5.35583333,31.20,0.19,,,,,4392,7,66.77,1.61,0.17,
2M05352615-0522570,106,83.85895833,-5.38250000,26.50,0.26,0.72,0.13,1.17,0.03,3812.07,8.28,12.48,0.58,0.68,
2M05352618-0525203,350,83.85908333,-5.42230556,28.33,0.28,0.68,0.08,0.91,0.12,3519.43,47.07,25.72,0.63,0.85,
2M05352634-0525401,,83.85975000,-5.42780556,29.74,1.79,,,,,4616,10,104.47,1.27,0.20,
2M05352696-0524005,182,83.86233333,-5.40013889,26.47,0.42,1.23,0.38,-0.27,0.02,3345.34,16.18,10.65,0.85,1.94,C
2M05352730-0523366,,83.86375000,-5.39350000,29.70,0.34,,,,,4284,8,30.96,0.15,0.46,
2M05352813-0523064,120,83.86720833,-5.38511111,26.61,0.89,0.19,0.35,1.16,0.12,3670.84,9.54,58.01,1.07,0.54,
2M05352838-0525033,,83.86825000,-5.41758333,25.70,0.23,,,,,3910,11,11.07,0.38,0.46,
2M05352958-0524568,,83.87325000,-5.41577778,29.81,6.89,,,,,3906,19,14.25,1.47,0.84,
2M05352985-0523555,,83.87437500,-5.39875000,26.93,0.18,,,,,3978,18,19.56,0.53,0.59,
2M05352986-0523484,,83.87441667,-5.39677778,27.24,0.20,,,,,3873,12,14.21,0.38,0.94,
2M05353048-0524230,,83.87700000,-5.40638889,33.13,0.36,,,,,4319,8,83.73,0.62,0.13,
2M05353071-0524312,654,83.87795833,-5.40866667,28.30,1.35,-2.04,1.86,1.68,1.63,2879.93,20.03,19.93,0.42,0.25,
2M05353074-0521466,548,83.87808333,-5.36294444,24.72,0.30,0.15,0.43,1.10,0.53,4033.18,43.25,8.04,1.48,0.58,
2M05353099-0522013,538,83.87912500,-5.36702778,34.11,2.61,-1.19,0.08,-1.41,0.36,4273.76,42.75,80.53,9.56,0.29,
2M05353124-0523400,,83.88016667,-5.39444444,24.73,0.17,,,,,4288,5,12.28,0.15,0.29,
