mass,teff_2myr,teff_1myr,teff_3myr,logg_2myr,logg_1myr,logg_3myr,logL_2myr,logL_1myr,logL_3myr
2.08,5246.496530209514,5078.5514793314005,5509.451748417778,3.8617030465815216,3.695373380589689,3.8784180413252063,0.7286290785423245,0.8384406927093165,0.796869997996849
2.1,5260.405877114367,5085.957258944094,5536.955405672057,3.858028845585734,3.694407021972828,3.8654039388302164,0.7410586948375907,0.8460943983095564,0.8226906237430387
2.12,5274.285082601911,5093.470730899661,5565.931176748913,3.854081217378272,3.6932827273964417,3.851372731619235,0.7537002715501102,0.8538996929372614,0.8499056177688291
2.14,5288.640277971406,5100.898262054053,5596.7425463328345,3.849905003540446,3.6921745298894084,3.835650771450178,0.7666761076437079,0.8616171886331172,0.8792954762560858
2.16,5302.95578828403,5108.7261293823885,5629.795195569672,3.8455498970963515,3.6910606066026266,3.818061089706913,0.7797671023776974,0.8694349282624181,0.9111541968973741
2.18,5317.262124970205,5115.6232179774315,5663.938962831722,3.84106181816953,3.6898835862381696,3.799151347852838,0.7929381774575316,0.8769584033444636,0.9445705497258808
2.2,5332.491889156335,5123.3982775131535,5702.070897459114,3.8361490127681757,3.688698126911785,3.778363308478382,0.806785701275149,0.8847483213144514,0.9809809634415648
2.22,5347.596553308527,5130.820515386999,5742.43320010657,3.830821941258805,3.6873295281933083,3.756213699252029,0.8209567889917829,0.8925620312370014,1.0193142155947221
2.24,5362.721362697488,5137.775743030809,5784.130270629809,3.8252157970746192,3.685953582383594,3.733859537947286,0.8353643657982601,0.9001863055266404,1.058131868379426
2.26,5378.361462118467,5145.29552329497,5829.152536741829,3.8193406991711885,3.6845839292447815,3.711890067869456,0.8501588982977484,0.9079570976714526,1.097431168380742
2.28,5393.862589271967,5152.352710519255,5875.466877271313,3.813191776037598,3.6832038794697297,3.6905143249256094,0.8651337952903044,0.9155446011501954,1.1363811588766521
2.3,5410.513093507103,5159.855798051371,5925.266612521551,3.8063326508102238,3.6817119829458838,3.6707828095417843,0.8811402029557686,0.9233574020056549,1.1745677098780303
2.32,5426.907029725577,5167.222133673112,5977.965752709074,3.7990511291119042,3.6801397747463485,3.652250115653659,0.8974375879957448,0.9311680268734028,1.2122426455908495
2.34,5443.940278841647,5174.4032013444175,6036.242773994797,3.791250036968682,3.6784739549142036,3.6347854821559107,0.9144104328760221,0.9389742585666828,1.250288242213091
2.36,5461.635496837366,5181.506858778296,6099.3034232819045,3.7828817122254246,3.6767983308100516,3.618850413098579,0.9321123414452409,0.9467292689773749,1.2879736042736831
2.38,5479.8170304225505,5188.56924164392,6169.906882709624,3.7738169740267478,3.6751325356682885,3.604781720830062,0.9506154121193758,0.9544261747415353,1.3257007187228067
2.4,5498.783185679745,5195.875103976257,6251.256581941467,3.7637068399778184,3.673249311802836,3.59254032802847,0.97036198097276,0.9623880277290999,1.3643312404228327
2.42,5518.62170853777,5202.776295474568,6349.584510505325,3.753039657144291,3.671333017719491,3.5845952786172623,0.9908894010300014,0.9702142438782745,1.4029923280552372
2.44,5539.876323426885,5210.25397714774,6464.981375904197,3.74153712089832,3.6694907962268686,3.579840492983152,1.0126441717103518,0.9781258882310647,1.442609435540421
2.46,5562.522466595462,5217.637224380369,6623.328524220448,3.7282040308377695,3.667554280680906,3.5854838866733956,1.0366093741488902,0.9860676278467535,1.4825473771044395
2.48,5585.8312623175125,5224.952766452242,6815.514448440092,3.714189080458367,3.6653811701794754,3.598864096169056,1.0614050316527266,0.9941912666631473,1.5223731020790459
2.5,5610.5459969567855,5232.486145205665,7045.692368901131,3.699058639794926,3.6632476681383257,3.6188120475151426,1.0876930556879734,1.002315968548469,1.5636135913895073
2.52,5637.342255962458,5239.679686406711,7295.26628815452,3.682572384392226,3.660961293272106,3.6421962707784004,1.115916940607667,1.0104494796142092,1.6041597631972002
2.54,5666.819944544502,5246.95776472892,7572.363078357025,3.664303904795417,3.658727599672315,3.6684881086837997,1.1466786356809697,1.01852766783997,1.6460621961231867
2.56,5697.060721875633,5254.008530750984,7866.690504347491,3.6456996843855234,3.6562794527453466,3.6970530404145863,1.177934838237914,1.026714883195869,1.6871460255714839
2.58,5729.755087603721,5261.745868741185,8185.844767083363,3.6262260550049317,3.653748227794271,3.7282019850618586,1.2107290445078025,1.0351822282810939,1.7284625543890053
2.6,5763.37051995276,5269.252724200732,8524.232940895166,3.6070610873922697,3.651116560186366,3.761770245240242,1.2434095753307375,1.0436441767058569,1.7686151247317425
2.62,5798.6075130098325,5276.602789567359,8886.77207057707,3.5883912455585874,3.6483730665029825,3.798160070389347,1.2759960462988658,1.0521371085361266,1.8079081415061928
2.64,5835.919552294181,5284.442502719876,9265.980721738717,3.5711692457441884,3.6456068401389117,3.837227625393101,1.3076630045816282,1.0607850661030545,1.8447325940262111
2.66,5874.736093893595,5292.243307938029,9657.710677133837,3.5544412689962654,3.6427193689655297,3.878477629639516,1.339184944337386,1.0695127476289847,1.8786914614625383
2.68,5917.192192933284,5299.599329853614,10067.359157014014,3.538928129564066,3.6396027296290008,3.9236226562564496,1.3704604867195158,1.0782954795214168,1.9089650463470975
2.7,5961.218098737424,5307.389175836905,10443.433585736298,3.5245200525522833,3.636358734180124,3.969141815974203,1.400974867262815,1.0873200353790793,1.9303858117722095
2.72,6009.309701059302,5315.838400644326,10742.087690812397,3.5105431954104365,3.633092779232787,4.015781040536324,1.432115155585496,1.0965544717331324,1.935933232340966
2.74,6062.996059338164,5323.736891850854,10947.118159783946,3.4981203530473644,3.629693902732624,4.0612587707649555,1.4631704420071778,1.1057142602997676,1.9264815810076825
